state,pred_change,pred_total,date,total_deaths,change
Nebraska,3.4088878631591797,166.14783358573914,2020-05-31,170,0
Nebraska,3.941329002380371,170.0891625881195,2020-06-01,170,0
Nevada,12.620061874389648,370.62006187438965,2020-05-19,358,0
Nevada,15.173309326171875,385.7933712005615,2020-05-20,377,19
Nevada,12.310590744018555,398.1039619445801,2020-05-21,383,6
Nevada,10.414958000183105,408.5189199447632,2020-05-22,386,3
Nevada,6.919886589050293,415.4388065338135,2020-05-23,387,1
Nevada,3.324174404144287,418.76298093795776,2020-05-24,380,-7
Nevada,4.623443126678467,423.38642406463623,2020-05-25,394,14
Nevada,17.95311164855957,441.3395357131958,2020-05-26,394,0
Nevada,17.05275535583496,458.39229106903076,2020-05-27,402,8
Nevada,17.089427947998047,475.4817190170288,2020-05-28,406,4
Nevada,15.002612113952637,490.48433113098145,2020-05-29,406,0
Nevada,8.71731948852539,499.20165061950684,2020-05-30,417,11
Nevada,4.556722164154053,503.7583727836609,2020-05-31,417,0
Nevada,5.750316143035889,509.5086889266968,2020-06-01,417,0
New Hampshire,10.777003288269043,182.77700328826904,2020-05-19,172,0
New Hampshire,11.724733352661133,194.50173664093018,2020-05-20,190,18
New Hampshire,11.738330841064453,206.24006748199463,2020-05-21,199,9
New Hampshire,9.677193641662598,215.91726112365723,2020-05-22,204,5
New Hampshire,6.390294551849365,222.3075556755066,2020-05-23,208,4
New Hampshire,3.3200905323028564,225.62764620780945,2020-05-24,209,1
New Hampshire,4.307322025299072,229.93496823310852,2020-05-25,210,1
New Hampshire,13.973234176635742,243.90820240974426,2020-05-26,214,4
New Hampshire,16.556215286254883,260.46441769599915,2020-05-27,223,9
New Hampshire,13.090813636779785,273.55523133277893,2020-05-28,232,9
New Hampshire,13.977078437805176,287.5323097705841,2020-05-29,238,6
New Hampshire,9.880939483642578,297.4132492542267,2020-05-30,238,0
New Hampshire,4.435908794403076,301.84915804862976,2020-05-31,245,7
New Hampshire,5.269927501678467,307.1190855503082,2020-06-01,245,0
New Jersey,116.8969497680664,10555.896949768066,2020-05-19,10587,148
New Jersey,132.97430419921875,10688.871253967285,2020-05-20,10749,162
New Jersey,124.85069274902344,10813.721946716309,2020-05-21,10846,97
New Jersey,110.543701171875,10924.265647888184,2020-05-22,10985,139
New Jersey,97.75028228759766,11022.015930175781,2020-05-23,11082,97
New Jersey,75.24909973144531,11097.265029907227,2020-05-24,11138,56
New Jersey,76.5007553100586,11173.765785217285,2020-05-25,11147,9
New Jersey,97.47745513916016,11271.243240356445,2020-05-26,11194,47
New Jersey,102.01624298095703,11373.259483337402,2020-05-27,11339,145
New Jersey,102.7662582397461,11476.025741577148,2020-05-28,11409,70
New Jersey,94.10721588134766,11570.132957458496,2020-05-29,11531,122
New Jersey,79.65982818603516,11649.792785644531,2020-05-30,11634,103
New Jersey,64.79712677001953,11714.58991241455,2020-05-31,11698,64
New Jersey,62.00515365600586,11776.595066070557,2020-06-01,11723,25
New Mexico,10.299480438232422,280.2994804382324,2020-05-19,276,6
New Mexico,8.746048927307129,289.04552936553955,2020-05-20,283,7
New Mexico,7.2421112060546875,296.28764057159424,2020-05-21,294,11
New Mexico,5.095581531524658,301.3832221031189,2020-05-22,302,8
New Mexico,3.1873667240142822,304.5705888271332,2020-05-23,302,0
New Mexico,0.4432503581047058,305.0138391852379,2020-05-24,317,15
New Mexico,1.2708957195281982,306.2847349047661,2020-05-25,320,3
New Mexico,6.214906215667725,312.4996411204338,2020-05-26,325,5
New Mexico,7.088247299194336,319.58788841962814,2020-05-27,329,4
New Mexico,4.527629375457764,324.1155177950859,2020-05-28,335,6
New Mexico,2.724386692047119,326.839904487133,2020-05-29,344,9
New Mexico,1.8065776824951172,328.64648216962814,2020-05-30,351,7
New Mexico,-0.25178712606430054,328.39469504356384,2020-05-31,356,5
New Mexico,1.0706870555877686,329.4653820991516,2020-06-01,362,6
New York,160.5999298095703,28499.59992980957,2020-05-19,28558,219
New York,163.65362548828125,28663.25355529785,2020-05-20,28636,78
New York,137.2434844970703,28800.497039794922,2020-05-21,28743,107
New York,131.44720458984375,28931.944244384766,2020-05-22,28853,110
New York,129.9248504638672,29061.869094848633,2020-05-23,29031,178
New York,102.9145736694336,29164.783668518066,2020-05-24,29141,110
New York,103.27676391601562,29268.060432434082,2020-05-25,29229,88
New York,122.45885467529297,29390.519287109375,2020-05-26,29302,73
New York,125.79561614990234,29516.314903259277,2020-05-27,29484,182
New York,121.26207733154297,29637.57698059082,2020-05-28,29529,45
New York,109.585693359375,29747.162673950195,2020-05-29,29646,117
New York,97.61392974853516,29844.77660369873,2020-05-30,29710,64
New York,83.33039093017578,29928.106994628906,2020-05-31,29784,74
New York,78.35932922363281,30006.46632385254,2020-06-01,29917,133
North Carolina,29.641183853149414,722.6411838531494,2020-05-19,693,0
North Carolina,31.720247268676758,754.3614311218262,2020-05-20,726,33
North Carolina,29.013652801513672,783.3750839233398,2020-05-21,728,2
North Carolina,25.73003578186035,809.1051197052002,2020-05-22,775,47
North Carolina,21.97048568725586,831.075605392456,2020-05-23,778,3
North Carolina,10.956867218017578,842.0324726104736,2020-05-24,784,6
North Carolina,15.692343711853027,857.7248163223267,2020-05-25,790,6
North Carolina,41.392372131347656,899.1171884536743,2020-05-26,801,11
North Carolina,46.12501525878906,945.2422037124634,2020-05-27,844,43
North Carolina,47.55464172363281,992.7968454360962,2020-05-28,876,32
North Carolina,45.22776412963867,1038.0246095657349,2020-05-29,919,43
North Carolina,37.75458908081055,1075.7791986465454,2020-05-30,929,10
North Carolina,28.50564193725586,1104.2848405838013,2020-05-31,937,8
North Carolina,32.44929504394531,1136.7341356277466,2020-06-01,948,11
North Dakota,4.372223377227783,48.37222337722778,2020-05-19,45,1
North Dakota,5.450528621673584,53.82275199890137,2020-05-20,49,4
North Dakota,3.2101306915283203,57.03288269042969,2020-05-21,51,2
North Dakota,2.2090914249420166,59.241974115371704,2020-05-22,52,1
North Dakota,1.5922269821166992,60.8342010974884,2020-05-23,52,0
North Dakota,0.8752291798591614,61.709430277347565,2020-05-24,53,1
North Dakota,1.5990533828735352,63.3084836602211,2020-05-25,54,1
North Dakota,4.5052490234375,67.8137326836586,2020-05-26,54,0
North Dakota,6.744918346405029,74.55865103006363,2020-05-27,56,2
North Dakota,5.604779243469238,80.16343027353287,2020-05-28,57,1
North Dakota,4.43560791015625,84.59903818368912,2020-05-29,59,2
North Dakota,3.809988498687744,88.40902668237686,2020-05-30,60,1
North Dakota,3.768616199493408,92.17764288187027,2020-05-31,61,1
