state,date,total_deaths,change,pred_change,pred_total
Michigan,2020-05-28,5372,38,66.28066666666668,5462.067444444445
Michigan,2020-05-29,5406,34,47.43944444444446,5509.506888888889
Michigan,2020-05-30,5464,58,51.82822222222222,5561.3351111111115
Michigan,2020-05-31,5491,27,55.706888888888884,5617.042
Michigan,2020-06-01,5516,25,48.26127777777776,5665.303277777778
Minnesota,2020-05-19,757,17,24.242000000000008,764.242
Minnesota,2020-05-20,786,29,32.14611111111111,796.3881111111111
Minnesota,2020-05-21,818,32,30.13844444444444,826.5265555555555
Minnesota,2020-05-22,851,33,25.57616666666668,852.1027222222223
Minnesota,2020-05-23,861,10,28.746444444444453,880.8491666666667
Minnesota,2020-05-24,878,17,20.556500000000007,901.4056666666668
Minnesota,2020-05-25,890,12,19.111111111111118,920.5167777777779
Minnesota,2020-05-26,908,18,24.131722222222223,944.6485000000001
Minnesota,2020-05-27,942,34,33.94016666666666,978.5886666666668
Minnesota,2020-05-28,977,35,41.29488888888886,1019.8835555555556
Minnesota,2020-05-29,1006,29,34.429111111111105,1054.3126666666667
Minnesota,2020-05-30,1036,30,28.406166666666675,1082.7188333333334
Minnesota,2020-05-31,1050,14,28.332500000000007,1111.0513333333333
Minnesota,2020-06-01,1060,10,20.562833333333337,1131.6141666666667
Mississippi,2020-05-19,554,27,23.233999999999995,550.234
Mississippi,2020-05-20,570,16,20.361722222222223,570.5957222222222
Mississippi,2020-05-21,580,10,19.625888888888888,590.2216111111111
Mississippi,2020-05-22,595,15,16.19300000000001,606.4146111111111
Mississippi,2020-05-23,616,21,15.14238888888889,621.557
Mississippi,2020-05-24,625,9,17.23155555555556,638.7885555555556
Mississippi,2020-05-25,635,10,15.889777777777775,654.6783333333334
Mississippi,2020-05-26,652,17,26.224166666666655,680.9025
Mississippi,2020-05-27,670,18,21.924166666666668,702.8266666666667
Mississippi,2020-05-28,693,23,20.312055555555556,723.1387222222222
Mississippi,2020-05-29,710,17,24.27511111111111,747.4138333333333
Mississippi,2020-05-30,723,13,25.637111111111107,773.0509444444444
Mississippi,2020-05-31,734,11,22.455999999999996,795.5069444444445
Mississippi,2020-06-01,739,5,21.403888888888886,816.9108333333334
Missouri,2020-05-19,631,20,17.77383333333332,628.7738333333333
Missouri,2020-05-20,640,9,20.254333333333335,649.0281666666666
Missouri,2020-05-21,668,28,16.512166666666666,665.5403333333333
Missouri,2020-05-22,677,9,19.814888888888895,685.3552222222221
Missouri,2020-05-23,682,5,13.171944444444451,698.5271666666665
Missouri,2020-05-24,686,4,9.162000000000003,707.6891666666666
Missouri,2020-05-25,689,3,11.349166666666669,719.0383333333332
Missouri,2020-05-26,693,4,19.43388888888889,738.4722222222221
Missouri,2020-05-27,689,-4,19.111833333333326,757.5840555555554
Missouri,2020-05-28,708,19,21.766555555555556,779.350611111111
Missouri,2020-05-29,730,22,16.79527777777778,796.1458888888887
Missouri,2020-05-30,774,44,20.194111111111116,816.3399999999999
Missouri,2020-05-31,776,2,22.24633333333334,838.5863333333333
Missouri,2020-06-01,776,0,18.012222222222217,856.5985555555555
Montana,2020-05-19,16,0,0.3583888888888888,16.35838888888889
Montana,2020-05-20,16,0,0.4448333333333332,16.80322222222222
Montana,2020-05-21,16,0,0.5305,17.33372222222222
Montana,2020-05-22,16,0,0.540888888888889,17.87461111111111
Montana,2020-05-23,16,0,0.550888888888889,18.4255
Montana,2020-05-24,16,0,0.5912777777777779,19.016777777777776
Montana,2020-05-25,16,0,0.6817777777777779,19.698555555555554
Montana,2020-05-26,17,1,0.6968333333333334,20.39538888888889
Montana,2020-05-27,17,0,0.9803333333333332,21.375722222222223
Montana,2020-05-28,17,0,1.0388888888888883,22.41461111111111
Montana,2020-05-29,17,0,1.1016111111111109,23.516222222222222
Montana,2020-05-30,17,0,1.2197777777777778,24.736
Montana,2020-05-31,17,0,1.283611111111111,26.01961111111111
